measure,gestational_age_weeks,mean_ml,sd_ml
TBV,19,29.33,2.38
TBV,20,37.63,2.87
TBV,21,47.28,5.63
TBV,22,56.08,3.66
TBV,23,64.98,3.78
TBV,24,74.98,6.60
TBV,25,83.17,3.80
TBV,26,91.10,4.04
TBV,27,122.30,10.18
TBV,28,140.80,11.65
TBV,29,164.10,11.55
TBV,30,175.60,6.09
TBV,31,182.00,8.92
TBV,32,197.80,6.43
TBV,33,212.10,11.10
TBV,34,236.90,8.87
TBV,35,260.30,12.11
TBV,36,294.00,9.97
TBV,37,316.90,10.20
ICV,19,69.55,3.05
ICV,20,76.74,2.13
ICV,21,86.40,5.65
ICV,22,109.30,11.90
ICV,23,125.70,9.34
ICV,24,141.50,12.11
ICV,25,158.50,9.53
ICV,26,175.40,9.45
ICV,27,215.50,21.33
ICV,28,246.80,15.27
ICV,29,277.50,13.94
ICV,30,302.50,15.51
ICV,31,304.70,12.19
ICV,32,328.80,9.25
ICV,33,344.50,10.24
ICV,34,386.60,12.09
ICV,35,426.70,23.28
ICV,36,460.00,9.74
ICV,37,491.80,11.47
GMV,19,6.57,0.43
GMV,20,7.28,0.48
GMV,21,9.99,1.08
GMV,22,12.05,0.68
GMV,23,13.63,0.88
GMV,24,15.42,0.97
GMV,25,16.96,0.96
GMV,26,18.47,1.18
GMV,27,24.31,1.81
GMV,28,29.98,2.66
GMV,29,33.44,4.44
GMV,30,39.71,3.76
GMV,31,40.95,2.53
GMV,32,45.78,4.14
GMV,33,47.84,3.68
GMV,34,58.23,3.70
GMV,35,65.24,4.23
GMV,36,77.26,5.04
GMV,37,83.96,3.20
SBV,19,20.65,1.98
SBV,20,27.93,2.30
SBV,21,34.40,5.11
SBV,22,40.96,2.68
SBV,23,47.59,3.72
SBV,24,55.35,5.97
SBV,25,61.39,3.93
SBV,26,67.15,3.62
SBV,27,91.02,9.20
SBV,28,99.43,12.54
SBV,29,120.80,11.43
SBV,30,124.90,6.29
SBV,31,129.30,7.60
SBV,32,137.70,8.89
SBV,33,150.00,9.27
SBV,34,162.10,7.39
SBV,35,175.50,7.95
SBV,36,193.30,8.88
SBV,37,207.10,10.27
e-CSFV,19,38.15,1.07
e-CSFV,20,37.32,1.09
e-CSFV,21,37.60,5.85
e-CSFV,22,50.17,11.28
e-CSFV,23,57.23,7.42
e-CSFV,24,63.76,12.21
e-CSFV,25,72.38,11.33
e-CSFV,26,81.57,8.24
e-CSFV,27,90.38,21.36
e-CSFV,28,103.10,10.13
e-CSFV,29,110.70,20.53
e-CSFV,30,124.10,18.73
e-CSFV,31,119.50,11.20
e-CSFV,32,129.60,10.68
e-CSFV,33,128.00,16.53
e-CSFV,34,160.40,16.00
e-CSFV,35,164.10,17.51
e-CSFV,36,158.50,13.08
e-CSFV,37,166.10,15.17
VV,19,2.08,0.53
VV,20,1.80,0.77
VV,21,1.53,0.43
VV,22,3.05,0.79
VV,23,3.29,0.84
VV,24,2.73,0.93
VV,25,2.97,0.82
VV,26,2.74,0.86
VV,27,2.90,0.92
VV,28,2.98,0.89
VV,29,2.73,0.85
VV,30,2.70,0.72
VV,31,3.20,0.95
VV,32,3.50,1.22
VV,33,4.34,1.24
VV,34,5.11,1.42
VV,35,5.94,1.64
VV,36,7.51,0.64
VV,37,8.86,0.61
CBV,19,1.32,0.15
CBV,20,1.54,0.24
CBV,21,1.85,0.36
CBV,22,1.84,0.43
CBV,23,2.41,0.22
CBV,24,2.64,0.49
CBV,25,3.15,0.55
CBV,26,3.58,0.70
CBV,27,4.50,0.77
CBV,28,5.63,0.70
CBV,29,6.75,0.54
CBV,30,7.54,0.76
CBV,31,8.32,1.09
CBV,32,10.43,0.99
CBV,33,10.49,1.91
CBV,34,12.71,1.32
CBV,35,15.14,2.00
CBV,36,17.76,0.48
CBV,37,18.83,0.64
BM,19,0.79,0.14
BM,20,0.87,0.16
BM,21,1.05,0.23
BM,22,1.23,0.21
BM,23,1.36,0.24
BM,24,1.57,0.37
BM,25,1.67,0.34
BM,26,1.90,0.39
BM,27,2.42,0.52
BM,28,3.14,0.67
BM,29,3.09,0.35
BM,30,3.49,0.41
BM,31,3.54,0.42
BM,32,3.79,0.32
BM,33,3.83,0.53
BM,34,3.87,0.30
BM,35,4.89,0.46
BM,36,5.70,0.76
BM,37,7.07,0.42
